id,ident,normalized,timestamp,channel,pattern,filename,request_raw,request_url,attackerIP,attackerPort,victimPort,victimIP,connectionType,connectionProtocol,priority,header,signature,sensor,connectionTransport,remoteHostname
584d6e069f8c6d649a3756e7,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-12-11T15:17:26.821+0000,dionaea.connections,,,,,163.172.67.30,49844.0,19923.0,162.244.30.100,reject,pcap,,,,,tcp,
58586c659f8c6d649a3a161b,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-12-19T23:25:25.027+0000,dionaea.connections,,,,,::ffff:185.40.4.65,5071.0,5060.0,::,connect,SipCall,,,,,udp,
5628ce639f8c6d649a2f885d,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-10-22T11:54:11.633+0000,dionaea.connections,,,,,::ffff:5.152.222.194,5070.0,5060.0,::,connect,SipSession,,,,,udp,
5604f6179f8c6d649a2ef958,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-09-25T07:21:59.280+0000,dionaea.connections,,,,,58.218.211.157,39041.0,3128.0,162.244.30.100,reject,pcap,,,,,tcp,
54586db89f8c6d41306da90f,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2014-11-04T06:10:00.763+0000,amun.events,,,,,54.179.189.237,54390.0,443.0,172.31.14.66,initial,,,,,,,
5443a5ae9f8c6d41306d087f,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-19T11:51:10.421+0000,amun.events,,,,,71.190.176.162,3243.0,110.0,172.31.13.124,initial,,,,,,,
54c3027f9f8c6d3afa83aee2,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-01-24T02:25:03.153+0000,amun.events,,,,,121.132.251.86,2143.0,23.0,172.31.14.66,initial,,,,,,,
575892d99f8c6d649a328687,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-06-08T21:49:13.841+0000,dionaea.connections,,,,,143.215.130.109,50595.0,443.0,162.244.30.100,reject,pcap,,,,,tcp,
558daa3a9f8c6d649a2cd861,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-06-26T19:38:34.542+0000,amun.events,,,,,220.128.136.157,49879.0,3389.0,172.31.14.66,initial,,,,,,,
5592da9c9f8c6d649a2d1b8b,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-06-30T18:06:20.851+0000,amun.events,,,,,222.186.56.11,1207.0,3389.0,172.31.14.66,initial,,,,,,,
5855d1069f8c6d649a3970cf,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-12-17T23:57:58.682+0000,dionaea.connections,,,,,218.161.121.224,41119.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
553713629f8c6d649a293bd2,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-04-22T03:20:02.170+0000,amun.events,,,,,139.193.110.119,1870.0,23.0,172.31.14.66,initial,,,,,,,
57dd08169f8c6d649a35a546,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-09-17T09:08:38.068+0000,dionaea.connections,,,,,14.187.28.50,56159.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
560b43b19f8c6d649a2f0b25,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-09-30T02:06:41.936+0000,dionaea.connections,,,,,37.203.214.106,54608.0,8080.0,162.244.30.100,reject,pcap,,,,,tcp,
5659e6689f8c6d649a30a622,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-11-28T17:37:44.119+0000,dionaea.connections,,,,,195.154.217.211,64690.0,8060.0,162.244.30.100,reject,pcap,,,,,tcp,
577687079f8c6d649a33437b,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-07-01T15:06:47.887+0000,dionaea.connections,,,,,201.49.109.77,59017.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
574d237b9f8c6d649a323707,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,True,2016-05-31T05:39:07.103+0000,snort.alerts,,,,,0.0.0.0,,,255.255.255.255,Potentially Bad Traffic,UDP,2,1:527:8,BAD-TRAFFIC same SRC/DST,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,,
58b072de9f8c6d649a3efd09,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-02-24T17:52:30.082+0000,dionaea.connections,,,,,::ffff:195.154.243.131,5111.0,5060.0,::,connect,SipSession,,,,,udp,
587866239f8c6d649a3c9a87,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-13T05:31:15.416+0000,dionaea.connections,,,,,91.98.147.53,27462.0,2323.0,162.244.30.100,reject,pcap,,,,,tcp,
58b3f6f19f8c6d649a3f316f,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-02-27T09:52:49.149+0000,dionaea.connections,,,,,201.145.112.45,2255.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
556102769f8c6d649a2afa6c,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-05-23T22:43:02.342+0000,amun.events,,,,,50.94.36.135,34038.0,23.0,172.31.13.124,initial,,,,,,,
58814c5f9f8c6d649a3d1b02,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-19T23:31:43.911+0000,dionaea.connections,,,,,162.254.205.73,40355.0,11143.0,162.244.30.100,reject,pcap,,,,,tcp,
5882f3a49f8c6d649a3e36bf,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-21T05:37:40.806+0000,dionaea.connections,,,,,162.254.205.73,40028.0,2058.0,162.244.30.100,reject,pcap,,,,,tcp,
5435dc599f8c6d41306c4615,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-09T00:52:41.051+0000,amun.events,,,,,61.153.106.24,18591.0,135.0,172.31.13.124,initial,,,,,,,
5592d10e9f8c6d649a2d1b66,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-06-30T17:25:34.824+0000,amun.events,,,,,185.49.15.23,49433.0,3128.0,172.31.13.124,initial,,,,,,,
